package_name,download_count
osgiservicebridge,669
geoformalchemy,669
picogeojson,664
geoarea,664
django-registration-defaults,660
django-geojson-tiles,659
geosoupml,659
interlegis-portalmodelo-policy,659
python-gist-note,657
odoo8-addon-base-geoengine-demo,657
geomloss,654
simplegeo,652
georaster,648
geontology,647
rvgeocoder,647
gists-cli,646
gist,642
geolibs-glutemulo,642
geodl,642
pgist,640
geoid,639
django-email-registration,637
isogeo-scan-metadata-processor,637
gistpy,636
lfview-resources-spatial,635
collective-geo-settings,634
spatial,632
aliyun-python-sdk-geoip,632
collective-geo-geographer,630
proso-geography-model,628
django-geodz,626
gridgeo,626
hiegeo,623
pelican-gist,623
i3geoweather,622
odoo12-addon-l10n-it-vat-registries,621
collective-geo-contentlocations,621
gisrep,620
pythologist,613
odoo8-addon-base-geoengine,613
python-geoip-yplan,612
django-providerregistry,609
yandex-geocoder,608
geo2d,606
geoopt,603
geoget,603
fauxgeo,602
geophysics-analysis,601
open-geotechnical,599
django-geocode,599
odoo9-addon-base-location-geonames-import,593
plone-formwidget-geolocation,592
gispy,591
geokey-dataimports,588
appel-geocode,586
geobricksmapclassify,586
nautilus-registry,585
collective-geo-kml,585
odoo8-addon-geoengine-geoname-geocoder,585
georipe,581
geonameszip,578
geometryio,578
service-registry-cli,574
datapackage-registry,574
geokey-export,572
kagiso-sitemap,569
django-registration-gv,568
geogr,560
cubicweb-postgis,559
geomodelr,558
cpc-geogrids,557
gisht,557
odoo8-addon-website-event-register-free,554
spatial-efd,552
twtxt-registry-client,551
getgist,551
census-pgeoloader,550
tf-geometric,548
streamsx-geospatial,547
geomdl-shapes,547
geopack,547
tsgeom,543
geopatra,542
collective-geo-faceted,541
deepgeo,538
geometric-smote,535
collective-emailconfirmationregistration,534
gistey,534
pythongists,533
pgeomodis,528
geolibs-cartoasync,527
cancergeonomics,526
django-geoportail,526
surgeo,526
geofeather,525
service-registry,525
isogeo-export-docx,525
geospin-utilities,525
docker-registry-driver-fds,524
registrable,523
geobricksdbms,521
geo-squizzy,520
geobricksgeocoding,519
thunder-registration,519
gislite,518
psycopg-postgis,517
geopmpy,515
interlegis-portalmodelo-ombudsman,514
spatial-correlation-sampler,513
geonames,510
geocodertools,509
django-gift-registry,509
kagiso-search,507
dynamodbgeo,506
gistapi,505
django-graphene-gis-extension,504
django-wsgiserver,501
odoo12-addon-fieldservice-geoengine,499
deep-geometry,497
geomm,496
geojson-repair,496
libgeohash,495
agilegeo,494
vt2geojson,494
geouk,491
geobricksmodis,489
multivar-hypergeom,489
odoo10-addons-oca-stock-logistics-barcode,486
pretix-public-registrations,486
coop-geo,486
airwing-geoinfo,484
simple-geoip,483
geodatahub,483
geometry3d,481
geojson-modelica-translator,480
collective-geotransform,479
registration,478
georef-ar-address,475
geo-ez,474
seq-pigeon,471
geoai-rasterio,471
django-geopostcodes,470
hanyang-registration,468
registermap,467
datapackage-pipelines-sourcespec-registry,465
django-pyodbc-gis,465
swisslandstats-geopy,464
django-os-geocoder,463
geospy,462
geonode-elasticsearch-app,461
pygeom,460
spatialiteintrospect,458
interlegis-portalmodelo-pl,457
geosample,456
dj-registry,456
micropython-redis-geo,455
geo-code,454
geotable,453
docker-registry,449
gistsync,447
webgeocalc,443
lineage-registry,443
csirtg-geo,443
ip2geo,442
ppygis3,441
cubicweb-geocoding,440
geobricksprocessing,440
geoselect,439
geonode-notification,438
gis-csdt,436
easy-geoparsing,435
django-appregistration,435
geoshoplib,435
cogeotiff,434
mesa-geo,434
django-osgeo-importer-client,434
cartogeo-generator,434
hypgeo,434
georideapilib,432
django-yandex-cash-register,430
django-osgeo-importer,427
jaraco-geo,425
simplegeoip,425
geodesy,424
emagisterapi,420
odoo11-addons-oca-stock-logistics-barcode,420
geoiojpg,419
geokey-webresources,416
geofetch,416
runregistryclient,415
claypigeon,411
geoedfframework,411
coortransform-girdgeographic,410
kagiso-wagtail-slack,409
registrar,408
logist,407
geophpy,406
podgist,405
jinja2-registry,405
roax-geo,404
geompreds,403
geo-measures,403
django-geoip-utils,402
django-registrationwall,402
geojsplit,401
pyspatiotemporalgeom,400
sphinx-pangeo-theme,399
django-ldap-user-registration,395
wf-geom-render,395
geoparquet,393
django-registration2,393
django-geopositionmap,392
geomt,391
plone-app-changeownership,389
meltinggeos,389
geohashcx,388
geoffrey-filecontent,388
z3c-baseregistry,387
django-gis-brasil,387
hypothesis-geojson,386
geoshape-geonode,385
geonames-lib,382
magislack,381
geometry-to-spatialite,379
collective-geo-zugmap,379
girder-geospatial,378
docker-registry-driver-cassandra,378
pygeometa,377
geokey-epicollect,375
kregistrar,373
geoip-lastlog,373
django-geojson-serializer,371
coronawhy-geo,371
geodjango-tigerleaflet,371
geonetworkx,370
odoo8-addon-geoengine-partner,369
logistic-module,368
odoo8-addon-geoengine-base-geolocalize,368
geotechnicalprofile,368
gists,367
clogistic,365
jldgeo,365
bmi-arcgis-restapi,364
